songs,artists,lyrics,length
Stand Up,Ludacris,"stand up! (ah) stand up! (yeah) stand up! (ah) stand up! (uh) move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back ain't gon' fuck?! bitch, i'm me! i'm goddamn reason vip ceo, see id i'm young, wild, strapped like chi-ali blaow! ain't got nothing worry whoop ass, let security carry watch medallion, diamond reckless feel like midget hanging necklace pulled million truck looking, smelling, feeling like million bucks, ahh pas bottles, heat huddle smoking cheech & chong what's wrong? club moon full i'm looking thick, young lady pull one sure shot way get pant take note brand new dance like see ludacris liveget ticket low $68you might also like move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back go big ass, let see something tell little friend quit mean mugging i'm lit care one think fuck waitress drinks? people outside can't get gon' rush back door & break owner already pissed cause sort late time clothes, got coordinate girl looking right, looking mess that's spilling drink dress louis vuitton bra breast got wanting put hickey chest ahh, come gon' party tonight y'all use mouth mouth bring party life scared, show another part life drink system, harder fight move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back stand up! stand up! stand up! stand up! damn right, fire marshal wanna shut u get u out, someone gun u two song away getting cut one song away tearing club move over; luda got something say cause tomorrow ain't promised today work me, let's become one beat worry stepping foot move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back move, move, like that? move, move, like that? move, move, like that? hell yeah, hey dj bring back stand up! stand up! stand up! stand up! stand up! like that? stand up! like that? stand up! stand up!8embed",3294
The Remedy (I Won't Worry),Jason Mraz,"well, saw firework freeway behind closed eyes, cannot make go away 'cause born fourth july, freedom ring well, something surface, sting said, something surface, well, kinda make nervous say deserve this? kind god would serve this? cure dirty old disease well, gots poison, i've gots remedy remedy experience dangerous liaison says, comedy serious strange enough new play word say tragedy gonna spend rest night light shine light friend amount nothing end i, worry life away hey, oh, oh i, worry life away hey, oh, oh see jason mraz liveget ticket low $47you might also like well, heard two men talking radio cross fire kind new reality show uncovering way plan next big attack counting way stab brother right back unavoidable kiss, minty fresh death breath sure outlast catastrophe dance me, 'cause gots poison, i've gots remedy remedy experience dangerous liaison say comedy serious strange enough new play word say tragedy gonna spend rest night light shine light friend amount nothing end i, worry life away hey, oh, oh (i won't, won't, won't) worry life away hey, oh, oh fall love (i fall love), take time there's need hurry i'm making mind turn sun (turn sun), i'm still gonna shine i'll tell remedy experience dangerous liaison say comedy serious strange enough new play word say tragedy gonna spend rest night light shine light friend amount nothing end ('cause won't) worry life away hey, oh, oh (i won't, won't, won't) worry life away (i worry life) (i won't) worry life away ('cause won't, won't, won't) worry life away hey, oh, oh (i won't, won't, won't) worry life away9embed",2520
Why Don't You & I,Santana,"since moment spotted like walking 'round little wing shoe stomach's filled butterfly ooh, alright bouncing 'round cloud cloud got feeling like i'm never gonna come said like it, know i'd lied, ooh every time try talk get tongue-tied turn everything say come wrong never come right i'll say, ""why get together take world together forever? head will, tail we'll try again"" say, ""why hold fly moon straight heaven? 'cause without you, they're never gonna let in"" when's fever gonna break? think i've handled man take i'm like love-sick puppy chasing around ooh, alright bouncing 'round cloud cloud got feeling like i'm never gonna come said like it, know i'd lied, ooh might also like every time try talk get tongue-tied turn everything say come wrong never come right i'll say, ""why get together take world together forever? head will, tail we'll try again"" say, ""why hold fly moon straight heaven? 'cause without you, they're never gonna let in"" slowly, begin realize, never gonna end right time walk say, ""oh, go again, oh"" every time try talk get tongue-tied turn everything say come wrong never come right i'll say, ""why get together take world together forever? head will, tail we'll try again"" say, ""why hold fly moon straight heaven? 'cause without you, they're never gonna let in"" i'll say, ""why get together take world together forever? head will, tail we'll try again"" say, ""why hold fly moon straight heaven? 'cause without you, they're never gonna let in""4embed",2239
Excuse Me Miss,Jay-Z,"can't roll blunt one gotta, gotta well, ya gotta light j gotta puff j one can't even drink crist-owl one gotta drink crist-all buy red wine, little gaja 9-7 contagious, can't take grown sexy, uhh baby, let's make excuse me; what's name? ooh, oh yeah, get grown man one second? (you're foxy, girl) 'cause see lady tonight hanging jay-z, jay-z hot trot, lady! excuse miss, what's name? come, hang me? (ooh, oh) possibly, take out, tonight? already know hittin' ma, got whatever outside know i'm sittin' 50/50 venture dot kickin' armadale poppin' now, bring nigga thing missin' missus ain't even gotta dishes, got two dishwasher got one chef, one maid, need partner play spade card up, trust else gon' run with? truth u dude movin' unit - em, pimp juice us, roc here! maybach outside, got rock ear pj's runway, young got air land airport, call clearport therefore, wanna hear back forth who's hot young, holla! might also like sex-cuse me... damn! contagious, can't take baby, let's make got gaja 9-7 right lady gotta puff j one can't roll blunt one, boy contagious, can't take baby, let's make excuse me; what's name? ooh, oh (aoww!) (you're foxy, girl) 'cause see lady tonight rollin' wit jay-z, jay-z hot trot, lady, what's name? ooh, oh (you're foxy, girl) 'cause see lady tonight rollin' wit jay-z, jay-z hot trot everybody's like, ""he's item! please like wife 'em, one night 'em!"" like him, never met groupie try take advantage him, let 'em need 'em, treat 'em like treat 'em better me, agree mad that, he's havin' opposite attract like mag-a-nets see benz wagon, friend taggin' along flashy nigga braggin' song get glimpse shawn like 2-ways her, writes back smiley face phrase either one i'm caught matrix fuck it, let fishburne red green pill, live learn, c'mon! sex-cuse me, damn! gotta throw fine linen one contagious, can't take baby, let's make might go, mighta gotta go get scooby doo's lady gotta throw ya scooby doo's; shoe way contagious, can't take gotta throw scooby doo's, hehehehe baby, let's make excuse me; what's name? ooh, oh (you're foxy girl) grown sexy, grown sexy hot trot, lady, what's name? (woo!) ooh, oh, foxy, girl hot trot love let's go half son, know past ain't one easily get past, chapter done ...but i'm done readin' remember spade face up, believe got f'real f'serious role i'm 'bout give key security code 'bout show cheese, let know ain't playin' but, jump window, what's name? sex-cuse me, damn! contagious, can't take baby, let's make lady contagious, can't take baby, let's make excuse me; what's name? ooh, oh foxy, girl hot trot, lady! what's name? ooh, oh foxy, girl, hot trot17embed",3941
Jenny from the Block,Jennifer Lopez,"child grow woman producing men go working, go stealing everyone's got make living bx, uh (south side bronx) (south side bronx) fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (from bronx) fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (south side bronx, bronx) living color movie script 6 j. lo headline clip stay grounded amount roll i'm real thought told ya (i'm real) i'm real even oprah (i'm real) that's nothing phony, hate get see, oh (south side bronx) might also like fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (from bronx) fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (south side bronx, bronx) i'm earth like rocking business i've grown much i'm control loving rumor got laughing, kid love life public put god first can't forget stay real (real) like breathing, yeah (south side bronx) fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (from bronx) fooled rock got i'm still, i'm still jenny block used little, lot matter go know came south bronx, oh, south side bronx f-f-f-flip boricua that's happened south bronx, south side bronx ah f-f-f-flip that's happened south bronx, south side bronx boricua's house f-f-f-flip that's happened hey south bronx, south side bronx everyone's got make living alright, bring back fooled rock got i'm still, i'm still jenny block used little, lot matter go know came (from bronx) fooled rock got i'm still, i'm still jenny block used little, lot (south side bronx) matter go know came (south side bronx, bronx) fooled rock got i'm still, i'm still jenny block used little, lot (south side bronx) matter go know came (south side bronx, bronx) dont fooled rock got i'm still, i'm still jenny block used little, lot (south side bronx) matter go know came (south side bronx, bronx)206embed",3065
Are You Happy Now?,Michelle Branch,"no, walk away pretending everything's okay care know use lie become truth care yeah, yeah, yeah, yeah could look eye tell happy now? (ooh) would tell face? erased? happy now? happy now? took take left empty plate care it, yeah giving game leaving blame 'cause care could look eye tell happy now? (ooh) would tell face? erased? happy now? (ooh) happy now? happy now? yeah, yeah, yeah might also like really everything want? can't ever give something ain't got can't run away could look eye tell happy now? (yeah, yeah) c'mon, tell face replaced? happy now? yeah, yeah, yeah, yeah (are happy now?) oh, oh (are happy now?) yeah, yeah, oh, oh would look eye? could look eye? i've take i'm break 'cause i'm happy (ooh) happy now?2embed",1277
Forever and for Always,Shania Twain,"mmm, mmm mmm, arm ohh hear heartbeat hear beating loud arm still feel way want hold still hear word whispered told stay right forever arm ain't way i'm letting go ain't way ain't i'll never see day 'cause i'm keeping forever always together day wanna wake every morning sweet face always mmm, baby see shania twain liveget ticket low $12you might also like heart still hear beat every time kiss we're apart, know much miss feel love heart ain't way (and ain't way) i'm letting go ain't way (and ain't way) ain't i'll never see day 'cause i'm keeping forever always together day wanna wake every morning sweet face always oh, yeah wanna wake every morning, yeah oh eye (i still see look one) still see look one really love (i still feel way want) one put anything else world (i still see love me) still see love eye (i still see love) ain't way (and ain't way) i'm letting go ain't way (and ain't way) ain't i'll never see day 'cause i'm keeping forever always together day wanna wake every morning sweet face i'm keeping forever always together day wanna wake every morning sweet face i'm keeping forever always oh i'm keeping forever got keep you, baby oh, forever arms3embed",1938
I Can,Nas,"know wanna work hard i'll wanna know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) be, b-boys girls, listen anything world, god trust architect, doctor, maybe actress nothing come easy, take much practice like, met woman who's becoming star beautiful, leaving people awe singing songs, lena horne, younger version hung wrong person, got strung heroin cocaine, sniffing drugs, nose could've died, young, look ugly old fun 'cause reach hugs, people hold breath 'cause smell corrosion death watch company keep crowd bring 'cause came drug came sing gonna best, i'ma tell put hand air, take vow might also like know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) be, b-boys girls, listen grown-looking girl who's 10 one watch video see cute be, club fake id careful, 'fore meet man hiv host tv like oprah winfrey whatever decide, careful, men rapists, act age, pretend older are, give time grow thinking give wealth, young boys, use lot help, know thinking life's smoking weed ice wanna age can't read write begging different woman place sleep night smart boy turn men whatever wish believe achieve, say like know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) be, be-fore came country king queens, never porch monkey empire africa called kush timbuktu, every race came get book learn black teachers, taught greek roman asian arab gave gold, gold converted money changed money became empowerment european persian military invaded heard gold, teachings, everything sacred africa almost robbed naked slavery money, began making slave ship egypt place alexander great went shocked mountain black face shot nose impose basically still go today, see? truth told, youth grow learn survive gain control nobody say gangstas, hoe read more, learn more, change globe ghetto children, thing hold head up, little man, king young princess, get wedding ring man sing, ""she's queeeeeen"" know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) know (i know can) wanna (be wanna be) work hard (if work hard it) i'll wanna (i'll wanna be) save music, y'all save music, y'all save music, y'all save music, y'all save music 45embed",4061
Underneath It All,No Doubt,"there's time want something someone like there's time dress rehearsal seems incomplete see color like one else behind dark glass something else really lovely underneath want love underneath i'm really lucky underneath really lovely know real bad trick need discipline lately trying real hard giving best give gorgeous sleep i've ever really bad guess bad might also like really lovely underneath want love underneath i'm really lucky underneath really lovely many moon seen stumbling back next i've seen right underneath make better i've seen right underneath make better, better, better real! 'cause underneat' all, real prince charmin' like heat fire, always burnin' anytime you’re around, body keep callin' touch, kiss sweet romancin' there’s another side you, weh woman yah adore aside temper, everything else secure you’re good me, baby, that, i’m sure 'cause again, want used coupon got left somehow i'm full forgiveness guess meant really lovely underneath want love underneath i'm really lucky underneath really lovely15embed",1607
If You're Not the One,Daniel Bedingfield,"one, soul feel glad today? one, hand fit way? mine, heart return call? mine, would strength stand all? never know future brings know we'll make hope one share life wanna run away, can't take it, understand i'm made you, heart tell am? way could stay arms? need you, cryin' bed? need you, name resound head? me, distance maim life? me, dream wife? know far away know much true we'll make hope one share life wish could one die i'm praying one build home hope love life might also like wanna run away, can't take it, understand i'm made you, heart tell am? way could stay arms? 'cause miss body soul strong take breath away breathe heart pray strength stand today 'cause love whether wrong right though can't tonight know heart side wanna run away, can't take it, understand i'm made you, heart tell am? way could stay arms?2embed",1743
Thoia Thoing,R. Kelly,"sthoia thoia thoia (uh) thoing thoing thoia thoing (it's kells) thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing made need know that's flo' sliding pole horny fo sho' hand we're drink cup showed love left club hummer v hot kissing girl fantasy remy thing singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing might also likei singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing know would like get wit two(ah) nice honies i'm chillin' pool (ah) red bikini pump heel shoe (ah) could think damn thing cooler crib ain't rule (ah) i'm butt naked, sweat socks, house shoe (ah) 100 bottle cris cool (ah) i'm frozen thanks jacob jeweler one day without shaking like fiend (ah) y'all tell what's r&b without r (ah) singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing met girl shopping mall hazel eye said africa broke right front moaning knee said i'm scared ya tattoo back lovin' way work body movin' like dancin' circus back forth jerk put thoia thoing watch murk singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing make lot noise when, come club lady house come show boy love last call alcohol(nah) we're closing bar tell where's party rolling r singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoing thoing thoing thoia thoia thoia thoia thoing singing thoia thoia thoia thoia thoing thoing thoia thoia thoia thoia thoing5embed",3030
Here Without You,3 Doors Down,"hundred day made older since last time saw pretty face thousand lie made colder think look mile separate disappear i'm dreaming face i'm without you, baby still lonely mind think you, baby dream time i'm without you, baby still dream tonight, me, yeah mile keep rolling people leave way say hello i've heard life overrated hope get better go oh yeah, yeah i'm without you, baby still lonely mind think you, baby dream time i'm without you, baby still dream tonight, girl, me, yeah might also like everything know, anywhere go (yeah) get hard, take away love (yeah, yeah, yeah, yeah, yeah) last one fall (whoa) said done get hard, take away love whoa, oh, whoa, oh, whoa, whoa, whoa i'm without you, baby still lonely mind think you, baby dream time i'm without you, baby still dream tonight, girl, yeah oh, yeah oh, oh, whoa44embed",1408
Wanksta,50 Cent,"woo, yeah 50 aka ferrari f-50 break got lot livin' 'fore die ain't got time waste let's make say gangsta, never pop nothin' say wanksta need stop frontin' ain't friend mine (yeah!), ain't kin mine (c'mon!) make think run .9? (uh-huh) time (what?), right grind (yeah) hurry cop go, sellin' nick dime (uh-huh) shorty, fine, gotta make mine as like gotta one kind (woo) crush 'em every time, punch 'em every line i'm fuckin' mind, make 'em press rewind know can't shine i'm around rhyme parole since '94 'cause commit crime send line, three-to-nine d ran crib, know droppin' dime see 50 cent liveget ticket low $69you might also like say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' damn, homie high school man, homie, fuck happened you? got sickest vendetta come cheddar (uh-huh) nigga, play paper, gon' meet beretta shorty think i'ma sweat (uh-huh), sippin' amaretto (yeah) might hit once, dead her, know better look good, know cheddar tryin' get pockets, homie, ain't gon' let easy, start bullshit, get whole crew wet club doin' old two-step guerrilla unit, cuz, say bugged 'cause go nowhere without toast, thugged say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' me, i'm mobster, me, i'm gangsta me, i'm hitman (yeah), me, i'm me, me, i'm wanksta, me, i'm actor see tv 'cause hustle, baby, rap shit easy i'm gettin' get brick talk greasy (woo) means, partner, got eat street play close, sure i'm gonna pop heat nigga sayin' gon' murk 50, how? ridin' 'round gun size lil bow wow know ak ar-15s equipped night vision, shell catcher inf-beams, huh? say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' say gangsta, never pop nothin' say wanksta need stop frontin' go dealership, never cop nothin' hustlin' long time ain't got nothin' aha damn, homie28embed",3428
My Love Is Like...Wo,Mýa,"see, baby know done share girls, but… confident ever search street affection got (one, two, three, four) kind girl like? know look deceiving tell me, type? main goal please what's schedule tonight? reason treating? hope appetite so, tell me, come spend night? love like… wo kiss like… wo touch like… wo sex like… wo as like… wo body's like… wo kissing so, think it? wo love like… wo kiss like… wo touch like… wo sex like… wo as like… wo body's like… wo kissing so, think it? might also like come through? (come through) 'cause i'll waiting right bring belvedere? (baby, bring it?) pop cork cheer please fear (have fear), yeah wanna love right hope appetite so, baby, come spend night? love like… wo kiss like… wo (you know like) touch like… wo sex like… wo (can feel it?) as like… wo (oh) body's like… wo kissing so, think it? wo love like… wo kiss like… wo touch like… wo sex like… wo as like… wo (are gon' spend night?) body's like… wo kissing so, think it? hold me, hold me, oh oh taste it, my, taste it, hold me, hold taste it, taste hold like never wanna let go liking tasting, baby, let know see, gonna love me, better love strong 'cause want love last night long oh, like... wo love like… wo kiss like… wo touch like… wo (you'll never find nothing better) sex like… wo as like… wo body's like… wo kissing (yeah, yeah) so, think it? wo love like… wo (you want it?) kiss like… wo (you want it?) touch like… wo sex like… wo (my love like... wo, kiss like... wo, touch like... wo) as like… wo body's like… wo kissing so, think it? wo oh, oh, oh... wo wo wo love like… wo kiss like… wo touch like… wo3embed",2396
It's Five O'Clock Somewhere,Alan Jackson,"sun hot old clock movin' slow an' work day pass like molasses wintertime july i'm gettin' paid hour, an' older minute bos pushed limit i'd like call somethin' think i'll call day pour somethin' tall an' strong make ""hurricane"" go insane half-past twelve care five o'clock somewhere oh, lunch break gonna take afternoon an' half night tomorrow mornin', know there'll hell pay hey, that's alright ain't day year jamaican vacation's gonna start right phone’s tell 'em sailed away might also like pour somethin' tall an' strong make ""hurricane"" go insane half-past twelve care five o'clock somewhere could pay tab, pour cab an' back work two moment like this, can't help wonder would jimmy buffett do? funny ask alan, i'd say: ""pour somethin' tall an' strong make ""hurricane"" go insane half-past twelve care"" pour somethin' tall an' strong make ""hurricane"" go insane half-past twelve care care care five o'clock somewhere time zone on? country in? matter, five o'clock somewhere always five margaritaville, come think yeah, heard been, you? yessir seen boat i've margaritaville time alright, that's good stumbled way back okay, wanna make sure keep navigational beacon ha ha ha ha, buoys, tell alright. well, five o'clock. let's go somewhere i'm ready, crank let's get i'm gone8embed",1920
Like Glue,Sean Paul,"yeah, yeah-yeah, yeah-yeah feel dat track now, yeah-yeah sean da paul, mi go den well, really care people say really watch dem waan still got stick girl like glue man nah play number two know time getting dread need lot tree head got lot damsel bed run dat re-ed well enough likkle girl dem bought dem got di goody goody one ting mi haffi tell dem dutty got di woody woody frontway backway dutty k man di shooby shooby virgin dem waan gimme mi tooky tooky hot girl outta road dat seh dem see mi see mi tell mi seh dem something fi gimme gimme much one night dem dream bout di jimmy jimmy dem promise tell mi seh fi mi fi mi promise comfort fool, cool well yuh dun know seh dat man haffi rule, di school nuh pet dem wet dem like pool dignitary haffi use mi tool see sean paul liveget ticket low $81you might also like well, really care people say really watch dem waan still got stick girl like glue man nah play number two know time getting dread need lot tree head got lot damsel bed run dat re-ed waan big dem chest dun know dutty cup deyah rated di best love dis sean-a-paul nuh cater fi nuh guy girl request gimme di gal dem, yo every minute i'm wid fi get di gal dem exquisite get dem regular visit gimme di gal dem, dem pressure mi cellular seh mi di dappa dem waan fi dem big poppa gimme di gal dem, di chronic tek drag mean brag everyday got shag gimme di gal dem, everytime look inna mind girl dat weh mi find true mi love dem design well, really care people say really watch dem waan still got stick girl like glue man nah play number two know time getting dread need lot tree head got lot damsel bed run dat re-ed guy live dem life dem nuh really waan check dem nuh girl nuh wife nuh woman dem nah select sometime mi haffi wonder dem headset dem wreck jah know dem ago bun well dem waan correct please, dem nuh wannabee dem hangout wid much dog catch flea dem nuh waan nuh honey, dem waan di money dat's mi know seh dem bwoy deh move funny look like dem lost, living di past one ting mi haffi tell dem: sorry, dem better move fast, get crossed badman nuh cater fi dem because, mi go well, really care people say really watch dem waan still got stick girl like glue man nah play number two know time getting dread need lot tree head got lot damsel bed run dat re-ed well enough likkle girl dem bought dem got di goody goody one ting mi haffi tell dem dutty got di woody woody frontway backway dutty k man di shooby shooby virgin dem waan gimme mi tooky tooky hot girl outta road dat seh dem see mi see mi tell mi seh dem something fi gimme gimme much one night dem dream bout di jimmy jimmy dem promise tell mi seh fi mi fi mi promise comfort fool, cool well yuh dun know seh dat man haffi rule, di school nuh pet dem wet dem like pool dignitary haffi use mi tool well, really care people say really watch dem waan still got stick girl like glue man nah play number two know time getting dread need lot tree head got lot damsel bed run dat re-ed18embed",3928
Can't Hold Us Down,Christina Aguilera,"mm so, what, 'sposed opinion? keep quiet i'm woman? call bitch 'cause speak what's mind guess easier swallow sat smiled female fire back suddenly big talker know act little boy would makin' false rumor two sure man slanderin' name popularity sad get fame controversy (it's sad) time come give say girl around world (around world) who've come across man respect worth (whoa) thinkin' woman seen heard (whoa) girls? shout louder! lettin' 'em know we're gonna stand ground (stand ground) lift hand high wave 'em proud (whoa) take deep breath say loud (whoa) never can, never will, can't hold u see christina aguilera liveget ticket low $70you might also like nobody hold u (hold u down) nobody hold u (hold u down) nobody gonna hold u (hold u down) never can, never so, what, 'sposed say i'm sayin'? offended message i'm bringin'? call whatever 'cause word mean thing guess ain't even man enough handle sing look back history common double standard society guy get glory, score girl yet call whore understand okay guy get away it, girl get named lady come together make change start new beginning us, everybody sing girl around world (around world) (yeah) who've come across man respect worth (respect worth) thinkin' woman seen heard (you can't get rid us) girls? shout louder! lettin' 'em know we're gonna stand ground (we standin' ground one) lift hand high wave 'em proud (whoa) take deep breath say loud never can, never will, can't hold u (check it) here's something can't understand guy three girl he's man even give head, sex raw girl same, whore table 'bout turn, bet fame cat take idea put name alright though, can't hold got keep movin' girl man tryna mack right back let need let know game whack lil' kim christina aguilera got back little boy, think cute, coy must talk big, make smaller thing said little boy, annoy must talk big, make smaller thing girls! girl around world, oh who've come across man respect worth (respect worth, oh) thinkin' woman seen heard girls? shout louder! (shout louder!) lettin' 'em know we're gonna stand ground (stand ground) lift hand high wave 'em proud (whoa) take deep breath say loud never can, never will, can't hold u (whoa) girl around world (all girls) who've come across man respect worth (around world) thinkin' woman seen heard (yeah) girls? shout louder! lettin' 'em know we're gonna stand ground (stand ground) lift hand high wave 'em proud (whoa) take deep breath say loud never can, never will, can't hold u (uh, oh-oh, uh, uh, uh, uh, uh, uh, uh) spread word (can't hold u down) yeah, here, back again, yeah lil' kim christina aguilera yeah (can't hold u down, uh, uh)7embed",3972
My Front Porch Looking In,Lonestar,"ooh, yeah woo, yeah yeah oh yeah ground ever owned stickin' shoe look front porch panoramic view sit watch field fill ray golden sun watch moon lay fence like that's hung blessing front land i'll never beat view front porch looking there's carrot top barely walk sippy cup milk little blue eyed blonde shoe wrong 'cause like dress beautiful girl holding yeah, view love front porch looking see lonestar liveget ticket low $35you might also like i've traveled everywhere following job i've seen painting air brushed hand god mountain canyon reach sea shining sea can't wait get back home one made 'cause anywhere i'll ever go everywhere i've nothing take breath away like front porch looking there's carrot top barely walk sippy cup milk little blue eyed blonde shoe wrong 'cause like dress beautiful girl holding yeah, view love front porch looking i've seen beautiful i'm looking i'm looking there's carrot top barely walk sippy cup milk little blue eyed blonde shoe wrong 'cause like dress beautiful girl holding yeah, view love oh, view love front porch looking in, yeah oh, there's carrot top barely walk (from front porch looking in) little blue eyed blonde shoe wrong, yeah beautiful girl holding them, oh, yeah (beautiful girl) (from front porch looking in)embed",1922
Angel,Amanda Perez,"five month since went away left without word nothing say (nothing say) one gave heart soul good enough you, asked god god send angel heaven send angel heal broken heart love 'cause cry (is cry) god send angel wipe tear eye know might sound crazy that, still love wanna come back life there's something tell one adored can't love 'cause heart can't take lie eye cry so, god god send angel heaven send angel heal broken heart love 'cause cry (all cry) god send angel wipe tear eye (send angel) might also like knee begging god please send back eat, sleep made feel like could breathe wanted feel touch give love (give love) took love granted want lovin' now, can't so, god god send angel (send angel) heaven send angel heal broken heart love cause cry god send angel wipe tear eye oh god, send (god send angel) angel (wipe tear eyes) oh baby send angel heaven send angel (god send angel) love (send angel) oh god, send angel send angel (send angel) ooohhhh8embed",1730
She Hates Me,Puddle of Mudd,"met girl, thought grand fell love, found first hand went well week two came unglued trap, trip can't grip never thought i'd one who'd slip started realize living one big lie fucking hate trust fucking hate la la la love tried hard tore feeling like none ripped away queen hour that, shit got sour took ever sign guilt feeling bad, might also like trap, trip can't grip never thought i'd one who'd slip started realize living one big lie fucking hate trust fucking hate la la la love tried hard tore feeling like none ripped away that's story, see learned lesson i'm glad cause i'm fool i've said fucking hate trust fucking hate la la la love tried hard tore feeling like none ripped away la la la la la la la la la love trust la la la la la la la la la love trust la la la la la la la la la love tore feeling like none la la la la la la la la la love fucking hate me9embed",1264
Don't Wanna Try,Frankie J,"can't believe nerve say thing said hurt bad ended relationship can't believe it, four year go drain oh, wish thing would happened differently tried save u many times, still, see kept insistin' resistin' would fall tryna tell sorry tryna come back home tellin' really need cry beggin' knee floor baby, wanna try, wanna try, wanna try keep insisting know love door wanna try, wanna try 'cause fight say thing hurt bad begin cry wanna try, wanna try, i've enough rough road, baby, let go wanna try, wanna try, wanna try tell what's use holdin' hurt love many conversation telephone talk one day place wake morning breakfast ready table seems far away wake up, face reality seem good true put might also like tryna tell sorry tryna come back home tellin' really need cry beggin' knee floor baby, wanna try, wanna try, wanna try keep insisting know love door wanna try, wanna try 'cause fight say thing hurt bad begin cry wanna try, wanna try, i've enough rough road, baby, let go wanna try, wanna try, wanna try tell what's use holdin' hurt love wanna try, wanna try wanna try wanna try, wanna try, oh wanna try, wanna try wanna try wanna try, wanna try, wanna try moreembed",2182
