songs,artists,lyrics,length
Ain't It Funny (Murder Remix),Jennifer Lopez,"murda inc haha it. must. as got like damn get fatter, man, rule gon' get situation matter come make smile freakiest manner j l-o, hello no, i'm lee harvey oswald, i'm rule shot call ""off wall"" like mj early day inc. lopez ain't funny? since came around wanna see what's goin' tryna tell want time tryna tell i'm mind (on mind) see, never way never played game played i'm seein' kind lame knowin' situation change ain't funny? (ain't funny?) baby, want me, love crazy smile say ain't funny? (ain't funny?) baby, want me, love crazy i'm glad smile say ain't funny? might also like remember walked away even tried call name see first understand lookin' like lonely man (lonely man) remember wrong hurtin' 'cause love gone everybody get chance burn take lesson learned ain't funny? (ain't funny?) baby, want me, love crazy smile say ain't funny? (ain't funny?) baby, want me, love crazy i'm glad smile say ain't funny? c-a, double d, ha double dose, fly by, red line, testarossa oh never sucker chocha spit ism, hit 'em, get rid 'em know tah get gully ain't funny? want see workin' money caddy ain't dummy brodies want me? 'cause got g, j.lo murda i.n.c really wish send gift tryna make sit reminisce tryna blind blinging bling thought told love cost thing (love cost thing) hope realize i'm ever wanna hear enough bein' i'm laughin' play fool ain't funny? (ain't funny?) baby, want me, love crazy smile say ain't funny? (ain't funny?) baby, want me, love crazy i'm glad smile say ain't funny? baby, girlfriend? got boyfriend maybe friends, nah, nah, nah (ain't funny?) baby, i've got boyfriend girlfriend? maybe friends, nah, nah, nah11embed",2643
The Middle,Jimmy Eat World,"hey, write yet head, feel left looked try best, try everything worry tell away take time little girl, middle ride everything, everything fine everything, everything alright, alright hey, know they're know better (on own) buy live right now, yeah, matter good enough (good enough) someone else take time little girl, middle ride everything, everything fine everything, everything alright, alright take time little girl, middle ride everything, everything fine everything, everything alright, alright woo! might also like hey, write yet head, feel left (feel left out) looked best (just best) everything (do everything can) worry bitter heart (bitter hearts) gonna say take time little girl, middle ride everything, everything fine everything, everything alright, alright take time little girl, middle ride everything, everything fine everything, everything alright34embed",1507
I Need a Girl (Part One),P. Diddy,"strashbat - dreaming fiji aardvarck - 2wo wavy bagel - c ooo b n aaa c k frank ocean - provider sım fane - monday_ (feat. shiloh) afta-1 - love suite#1 josh hey - timbs j-lah - ooo baby baby (smokey robinson) jaël - calabria 2007 remix λ.j - hotel room geode - variation theme carlos - estrela jael - jael remix v1 el g - diversão blvc svnd no.2 - wild thots jarreau vandal - chamber reflection (vandalized edit) p. diddy feat. usher & loon - need girl (part one) tyus - lifted (feat. cassow) afta-1 - time suite ryon lovett - get acquainted vanilla - much mr. carmack - something baby ft. b. bravo / parvizi wavy bagel - mask c g n. - c g n ft. zvne - die iamsagun - i'll keep safe (feat. shiloh) xxyyxx - luv u grl pt. 2 danny dwyer - want cucu - trust nobody (feat. shiloh) jamescold - patience keem.the.cipher - aquanote - heartbreaker häzel - turn light j dilla - track 02 eulorhythmics - hot n' nasty afta-1 - rain kr x naji - fallen master v.2 hudson east - got yuri gobbi - darien brockington - break heart kaytranada - summer sadness yesterday’s new quintet present - solar wave smokedbeat - dillin' 6th sense - adorn question slum village - 2 4 slum village - untitled (fantastic) dr. mad - special way j dilla - track 09 slum village - player (willy sunshine remix) slum village - forth & back, rock music tek nalo g - serene feat flingstress big wave + carter - go lady häzel - dope ft. ebrahim dwele - a.n.g.e.l. (interlude) slum village & dwele - count way eric lau - dillalight big wave + carter - fantastic (intro) q-tip - vivrant thing (instrumental) j rocc - track 17 lucy pearl - without (jay dee remix) d'angelo - dreamin eye (jay dee remix) j dilla - stake high (the ummah remix instrumental) 6th sense - inhumane nature tell j dilla - dillatronic 11 j dilla - sometimes (remix) (instrumental)embed",2008
U Don't Have to Call,Usher,"yo, tonight... leave girl around me, true playa real ask nigga, pharrell, uh come on, that's going smell it? hah, yeah smell it? hah, yeah leave girl around me, true playa real ask nigga, pharrell, uh situation arise life got smart celebration guy sacrificed 'cause knew could sleep without meanwhile, i... loved you, girl see, i... thought world still steady leaving, baby call okay, girl 'cause i'ma alright tonight call okay, girl 'cause i'ma alright tonight see usher liveget ticket low $57you might also like aw, girl, face saying, ""why?"" tear eye smart cherished me, listening friend end again, story end without damn right... loved girl see, i... thought world still steady leaving, baby call okay, girl 'cause i'ma alright tonight call okay, girl 'cause i'ma alright tonight gonna boogie, tonight 'cause i'm honestly young guy stay home, waiting love tonight, i'm gonna single man that's party, yeah, oh yeah call (you gotta call) okay, girl (it's okay, girl) 'cause i'ma alright tonight (i'ma alright hah) call (you ain't gotta call) okay, girl (i'm okay girl) 'cause i'ma alright tonight tonight i'm going nigga oh yeah, hah call okay, girl (i'm alright girl, hah) 'cause i'ma alright tonight (i'm alright) gonna boogie, tonight 'cause i'm honestly young guy stay home, waiting love tonight, i'm gonna single man that's party, yeah, yeah, hah call okay, girl 'cause i'ma alright tonight (oh-oh-oh-oh, oh) call (hah) okay, girl (it's okay, i'ma alright) 'cause i'ma alright tonight (oh, oh, oh, oh, yeah, yeah, yeah, yeah, yeah) call okay girl (it's okay, girl) 'cause i'ma alright tonight (sick tired home, i'm gonna fun) call (hey, hey, yeah) okay, girl (it's okay, okay, okay, alright) 'cause i'ma alright tonight i'm waiting home bye bye7embed",2509
Family Affair,Mary J. Blige,"let's get crunk fun dancery got y'all open, ya floatin' gots dance need hateration holleration dancery let's get percolatin', waitin' dance come on, everybody, get 'cause know gots get crunk mary j. spot tonight i'ma make feel alright (make feel alright) come on, baby, party let loose set body free (oh) leave situation door step inside, jump floor let's get crunk (let's get crunk on) fun dancery got y'all open, ya floatin' gots dance need hateration holleration dancery (holler, holler, holler) let's get percolatin', waitin' dance see mary j. blige liveget ticket low $550you might also like ooh, gonna matter time get loose start lose mind cop drink, go 'head rock ice 'cause celebrating drama life dre track pumpin', everybody's jumpin' go ahead twist back get body bumpin' told you, ""leave situation door"" grab somebody get as dancefloor let's get crunk fun dancery got y'all open, ya floatin' gots dance need hateration holleration dancery let's get percolatin', waitin' dance need hater (y'all, need no) we're trying love one another (love) want y'all good time (mhm) drama life (mmm-mmm, no) work real hard make dime got beef, problem, mine (no, mine) leave b outside (we) we're gonna celebrate night (all night) let's fun tonight, fight turn dre track way high (turn up, turn up) making dance night (all night long) got real heat ya time (real heat. boy) matter white black (doesn't matter, matter) let's get crunk 'cause mary's back let's get crunk (let's get crunked on) fun dancery (in dancery) got y'all open, ya floatin' gots dance (so gotta dance me) need hateration (dance me) holleration dancery (dance me) let's get percolatin', waitin' (let's get it, let's get it, let's get it) dance let's get crunk (dance me) fun dancery (let's get crunk on) got y'all open, ya floatin' (all want y'all do) gots dance (is dance, dance) need hateration (c'mon, c'mon) holleration dancery (c'mon, c'mon) let's get percolatin', waitin' dance let's get crunk fun dancery (oh, yeah) got y'all open, ya floatin' gots dance (you gotta dance me) need hateration (just dance me) holleration dancery (just dance me) let's get percolatin', waitin' (dance me, dance me, dance me, yeah) dance let's get crunk (dance me) fun dancery (c'mon y'all, dance) got y'all open, ya floatin' (dance, dance, dance, dance) gots dance need hateration holleration dancery (we need hands) let's get percolatin', waitin' (we want holler, holler hear me, get percolated) dance me20embed",3729
I Need a Girl (Part Two),P. Diddy,"(youngsta!) uh (young shaney jay, plug boy) i'm boychi, one stirring pot potjie one got girl hot, drip moistly white chick, coloured kind got boity skin never oily, jah, i'm boychi child, mean spoil new wave old school like doily childish, attitude annoy never destroy me, naughty boychi naughty boychi, torpie's boychi hustling boychi, bus sit boychi dirty boychi, perfect boychi stoute boychi, soldier boychi holy boychi, og boychi ygen boychi, wynberg boychi boy oh boy boy oh boy boy oh boy yah yah youngsta might also like cpt vip, que want smokе, cohiba cigar fume never takе l's g's, can't lose mission impossible, 3t i'm tom cruise watching me, plotting, scheme wrong move reign supreme, drip monsoon make u draw arms, sketching cartoon long i'm king lions, can't rule y?gen-uwine, mario wayans part two p. diddy, usher can't forget loon like part one, really can't choose need girl ride speed car move time i'm dropping load's bathroom i'm lifting heavy bar 'til arm bruise timberland boots, denim dark blue feed wolves, lookin' like dog food please play way get bag worked conveyor belt need hater's help first succeed say myself... i'm boychi, one stirring pot potjie one got girl hot, drip moistly white chick, coloured kind got boity skin never oily, jah, i'm boychi child, mean spoil new wave old school like doily childish, attitude annoy never destroy me, naughty boychi naughty boychi, torpie's boychi hustling boychi, bus sit boychi dirty boychi, perfect boychi stoute boychi, soldier boychi holy boychi, og boychi ygen boychi, wynberg boychi boy oh boy boy oh boy boy oh boy yah yah youngsta know lekker, that's huge dilemma got moving like jerusalema want surname 'cause name julia rodyy robert box like courier baby girl, got tight package wet, dive inside need life jacket know got follower look follow back make obvious low-key uber trip get i'm mid-air stewardess giving beauty tip way screamed ""baby!"", like i'm coming uterus i'm focussed dangerous curve please jesus take wheel 'cause making swerve hot like peri peri lemon & herb take away burn whip cream, ready serve i'm boychi, one preschool chillin' toy one put class 'cause noisy he's bos listen voice speaks 'cause employee jah i'm boychi, one stirring pot potjie one got girl hot, drip moistly white chick, coloured kind got boity skin never oily, jah, i'm boychi child, mean spoil new wave old school like doily childish, attitude annoy never destroy me, naughty boychi naughty boychi, torpie's boychi hustling boychi, bus sit boychi dirty boychi, perfect boychi stoute boychi, soldier boychi holy boychi, og boychi ygen boychi, wynberg boychi boy oh boy boy oh boy boy oh boy yah yah youngsta boy oh boy boy oh boy boy oh boy yah yah youngsta boy oh boy boy oh boy boy oh boy yah yah youngsta boy oh boy boy oh boy boy oh boy yah yah youngsta boy oh boy boy oh boy boy oh boy yah yah youngstaembed",3999
Gangsta Lovin',Eve,"wanna rock you, night long oh-oh! wanna rock (uh-huh), night long oh-oh! yo! need understand me, daddy, ain't average baby girl, doin' all, i'm well established ain't tryna lead on, wanna ask might wanna give name, explain status know see time time, seem available mean shit, know bitch wanna settle gotta say short list dude ok, i'm feelin want best way, 'gon it? test me, want without yo, i'm comin' hard, bein' thug ain't givin till get gangsta love, uh-huh wanna rock you, night long oh-oh! (i wanna rock ya) wanna rock you, night long oh-oh! might also like know seen night, night, always shit tight hair done, outfit crazy, skirt fit right wife-beater bangin' tan walk in, demandin' eyes, baby, (you know) ain't shame frame know watchin' puttin' show you, pop, ain't stoppin' (you know) lot action corner, yeah, gonna thing make better though (you know it) know feelin' regardless frontin' heard street wantin' let find out, shy somethin' know stop game approach, real not? (real not) wanna rock you, night long oh-oh! (i wanna rock ya) wanna rock you, night long (all night long) oh-oh! yo! uh! ok! number exchange, place took long first place i'm playin' cutie, yeah, give call no, cool, ain't got see car see, i'm big girl (big girl), find (oh yeah) stop drop top ride (ride out) wheel spinnin', wanna know shorty about? cool, i'm provin' word that's comin' mouth gangsta lovin' (gangsta) that's got buggin' (buggin') gangsta lovin (gangsta, gangsta) got buggin' (oh-ah!) wanna rock you, night long oh-oh! (i wanna rock ya) wanna rock you, night long (all night long) (all night) oh-oh! wanna rock you, baby, wanna hold you, baby baby? wanna lady wanna rock you, baby, wanna hold you, baby baby? wanna lady (yeah yeah) baby, let rock (this gangsta, gangsta love) know wanna rock (gangsta, gangsta) baby let rock (the e-v-e) know wanna rock (a. keys, gonna rock ya) baby, let rock know wanna rock (it's gangsta, gangsta love) baby let rock (it's gangsta gangsta) know wanna rock (it's gangsta, gangsta love) ooh, yeah, know wanna rock baby, let rock you4embed",3005
My Sacrifice,Creed,"hello friend, meet while, begin? feel like forever within heart memory perfect love gave oh, remember me, i'm free i'm careless, believe others, we'll fly brings tear eye sacrifice we've seen share ups down oh, quickly life turn around instant feel good reunite within within mind let's find peace 'cause me, i'm free i'm careless, believe others, we'll fly brings tear eye sacrifice see creed liveget ticket low $14you might also like want say hello want say hello 'cause me, i'm free i'm careless, believe others, we'll fly brings tear eye 'cause me, i'm free i'm careless, believe others, we'll fly brings tear eye sacrifice sacrifice want say hello want say hello sacrifice15embed",1095
Without Me,Eminem,"obie trice, real name, gimmick ra—, *record scratch* two trailer-park girl go round outside round outside, round outside two trailer-park girl go round outside round outside, round outside woo! (ooh, ooh) guess who's back, back again? shady's back, tell friend guess who's back? guess who's back? guess who's back? guess who's back? guess who's back? guess who's back? guess who's back? (da-da-da, da, da, da, da, da, da) (da-da-da, da, da, da, da) i've created monster 'cause nobody want see marshall more, want shady, i'm chopped liver well, want shady, i'll give ya little bit weed mixed hard liquor vodka jump-start heart quicker shock get shocked hospital doctor i'm cooperating i'm rockin' table he's operating (hey!) waited long, stop debating 'cause i'm back, i'm rag ovulating know got job, ms. cheney husband's heart problem's complicating fcc let let me, let see tried shut mtv feel empty without come dip, bum lip fuck that, cum lip tit get ready, 'cause shit's get heavy settled lawsuit (fuck you, debbie!) might also like now, look like job everybody, follow 'cause need little controversy 'cause feel empty without said look like job everybody, follow 'cause need little controversy 'cause feel empty without little hellions, kid feeling rebellious embarrassed, parent still listen elvis start feelin' like prisoners, helpless 'til someone come along mission yells, ""bitch!"" visionary, vision scary could start revolution, pollutin' airwave rebel, let revel bask fact got everyone kissin' as disaster, catastrophe see damn much ass, asked me? well, i'm back, da-na-na-na, na-na-na-na-na-na fix bent antenna, tune in, i'm gonna enter skin like splinter center attention, back winter i'm interesting, best thing since wrestling infesting kid's ear nesting testing, ""attention, please"" feel tension soon someone mention here's ten cents, two cent free nuisance, sent? sent me? now, look like job everybody, follow 'cause need little controversy 'cause feel empty without said look like job everybody, follow 'cause need little controversy 'cause feel empty without tisket, tasket, i'll go tit-for-tat wit' anybody who's talkin', ""this shit, shit"" chris kirkpatrick, get as kicked worse little limp bizkit bastard moby? get stomped obie thirty-six-year-old bald-headed fag, blow know me, old, let go over, nobody listens techno now, let's go, give signal i'll whole list full new insult i've dope, suspenseful pencil ever since prince turned symbol but, sometimes, shit seems everybody want discus must mean i'm disgusting me, i'm obscene (yeah) though i'm first king controversy worst thing since elvis presley black music selfishly use get wealthy (hey!) there's concept work twenty million white rapper emerge matter many fish sea it'd empty without now, look like job everybody, follow 'cause need little controversy 'cause feel empty without said look like job everybody, follow 'cause need little controversy 'cause feel empty without hum, dei-dei, la-la la-la, la-la-la la-la, la-la-la la-la, la-la hum, dei-dei, la-la la-la, la-la-la la-la, la-la-la la-la, la-la kids!443embed",4206
Hero,Enrique Iglesias,"let hero would dance, asked dance? would run, never look back? would cry, saw crying? would save soul, tonight? would tremble, touched lips? would laugh? oh please, tell would die, one loved? hold arms, tonight hero, baby kiss away pain stand forever take breath away would swear, always mine would lie? would run hide? deep? lost mind? care, tonight see enrique iglesias liveget ticket low $63you might also like hero, baby kiss away pain stand forever take breath away oh, wanna hold wanna hold oh, yeah deep? lost mind? well, care tonight hero, baby kiss away pain (oh yeah) stand forever take breath away hero kiss away pain stand forever take breath away take breath away hero34embed",1182
